"wf_item_id","wf_item_label"
2,"Ability to act autonomously"
9,"There is good collaboration between nursing and the different ancillary services, e.g., pharmacy, lab, radiology, nutrition, behavioral health, etc."
5,"My work unit uses evidence-based practice in providing patient care."
7,"Within my scope of nursing practice, I have the freedom to act on what I know is in the best interest of the patient."
4,"Org provides high-quality care"
1,"Availability of tools and resources"
3,"Recommend this Org for care"
6,"I am involved in quality improvement activities."
8,"My work unit demonstrates a commitment to patient- and family-centered care."
10,"Our organizational values are reflected in our Nursing Professional Practice Model."
