"wf_unit","survey_id","wf_item_id","survey_response_score"
24,11829,4,3
17,12167,7,4
7,11885,10,4
35,12251,2,3
16,12011,1,3
35,10719,7,5
29,11386,2,4
2,10336,2,4
24,10111,5,5
55,11481,9,4
52,10487,6,4
8,10208,9,4
52,11521,9,5
25,11256,5,4
46,11186,3,5
16,11696,5,4
25,12286,7,4
16,10135,7,4
43,11501,6,5
13,11978,10,4
41,10419,7,3
6,10184,7,5
22,10381,3,4
25,10529,6,3
23,11412,2,4
25,10117,4,5
53,11163,9,4
4,11636,5,4
9,10947,1,3
22,11031,9,4
13,10943,6,4
30,11395,7,4
10,11744,8,5
52,11225,3,4
24,11037,2,5
7,11884,6,4
23,10725,6,4
24,10738,7,5
26,11603,10,4
22,11715,4,4
20,11675,5,3
22,11015,6,3
51,11520,4,4
40,12239,5,4
1,10681,7,4
22,11404,4,4
23,11718,9,5
54,14501,3,5
33,12246,2,4
7,11757,8,5
35,12249,6,2
16,11447,7,5
36,11020,6,1
13,10516,2,3
22,11015,2,5
53,14380,3,4
15,10560,6,3
35,11293,9,5
43,10911,5,5
6,10789,6,3
16,12158,3,1
18,12138,9,5
52,15450,4,4
22,11404,8,4
53,14422,3,5
56,11533,9,4
35,10406,1,5
2,10687,5,3
4,10306,6,3
52,14788,4,4
48,11146,5,4
10,11916,9,5
16,12157,4,4
53,14374,4,3
24,11353,5,5
40,11305,8,2
35,10777,8,4
23,11436,5,4
35,11018,1,2
7,10317,2,4
23,10389,6,5
9,11904,4,4
35,10636,6,3
30,11741,4,4
2,11630,10,4
35,11571,3,2
30,11393,3,5
35,12250,8,4
7,11795,10,4
53,10879,5,4
54,11169,5,4
43,11503,4,4
24,11354,5,5
24,10596,3,5
24,13550,3,3
9,10584,1,3
36,11020,4,4
28,13040,4,3
41,11619,7,5
20,11469,9,5
53,14492,3,3
7,10317,5,4
23,11036,9,3
36,10643,6,4
17,11921,6,4
13,12149,7,4
13,10943,5,4
41,10420,1,4
46,11873,2,4
20,10690,9,4
52,12318,2,4
10,11967,3,4
51,10740,4,3
47,11516,7,4
12,11773,5,3
23,10716,2,4
25,11840,8,4
10,11916,7,5
41,11584,9,4
25,10322,10,4
16,12219,2,4
23,10725,2,4
10,16834,4,4
20,10578,5,4
35,11589,3,4
40,12108,7,3
18,10992,7,4
20,10703,6,4
49,10833,3,4
22,11340,4,3
23,11343,8,4
8,11896,10,4
4,11787,3,4
54,11530,9,3
25,11310,2,5
20,10058,3,4
23,11416,1,4
7,10177,10,5
24,10108,9,4
35,10779,10,4
41,10447,3,4
17,12174,5,4
23,11035,7,5
7,11756,1,3
25,11256,3,2
4,10297,10,4
2,10665,9,4
46,12292,4,5
10,11916,4,5
2,13710,4,4
29,11555,5,4
23,11343,7,4
42,11586,2,3
35,10407,9,4
40,10446,1,4
10,10494,6,5
5,11648,9,4
2,10665,4,4
35,12096,1,1
7,11795,2,4
23,15199,3,3
36,12255,9,4
20,12147,9,4
53,15275,3,3
12,11810,2,4
47,10481,9,5
46,11187,6,5
16,10544,9,2
51,11152,7,4
22,15838,4,5
17,12168,5,3
40,10417,5,3
41,12258,9,5
41,10447,6,3
52,11454,10,4
12,11809,6,5
10,10064,6,2
10,11913,9,3
4,12196,9,4
23,12173,6,3
13,11983,8,5
24,14364,4,5
20,11674,9,4
8,12223,8,2
15,12205,2,5
54,12329,4,5
24,11038,3,4
8,11799,7,4
26,10954,7,5
41,11834,5,5
41,11584,5,4
46,12128,6,5
13,10652,7,4
35,12252,4,4
52,10743,10,5
48,11194,10,3
46,11873,10,4
30,10379,8,4
24,11828,6,4
55,11481,10,4
9,11805,7,4
9,10583,8,4
24,10289,8,5
12,11746,9,3
10,11969,9,5
20,10689,4,4
4,12053,9,4
18,10254,7,4
53,14420,4,5
7,10808,10,4
28,10906,2,4
23,11036,8,4
37,12256,2,4
12,10004,6,1
33,15510,4,4
35,11571,4,3
15,12205,7,5
7,10323,7,4
55,11108,7,4
35,10636,9,3
20,12148,2,4
4,10982,4,5
12,11772,2,4
30,10771,2,4
4,12052,3,4
23,10721,2,5
56,15427,3,4
25,10201,6,5
24,10292,4,4
46,12129,6,3
23,10282,3,4
25,10529,5,5
17,11700,1,2
10,10064,4,2
24,10595,9,4
15,11690,7,4
29,11877,3,3
33,10394,6,4
51,11153,3,4
7,10158,7,4
4,10271,2,5
25,11360,9,4
6,10280,8,4
35,12094,8,1
29,10907,10,4
35,11292,10,2
18,10254,2,4
34,11290,8,5
43,10427,6,3
41,12112,2,4
13,10096,9,4
41,11204,5,4
13,12193,9,4
25,11842,6,2
13,10650,5,3
40,12240,2,5
13,10553,9,3
35,11570,10,4
5,10969,9,3
1,10685,9,4
7,12213,3,4
19,11987,2,5
51,11223,2,2
31,13112,4,4
15,12207,7,4
34,12663,3,5
48,11936,3,3
7,11795,6,4
29,10698,2,5
21,12152,4,3
40,10654,9,4
23,11722,1,4
23,11718,4,5
41,11115,4,4
10,10034,9,4
23,12169,5,4
46,12292,6,4
9,10584,7,3
29,10929,6,5
6,13981,3,4
41,14720,4,5
4,10272,8,4
34,10635,9,4
54,11530,6,4
25,11838,9,5
43,11489,4,5
16,12159,7,3
20,11710,8,4
55,11481,4,4
23,10722,8,4
18,11705,5,4
41,11619,6,4
9,11804,10,4
30,11558,3,4
30,12233,8,4
47,12135,6,4
20,10151,2,4
30,11558,7,4
52,11067,3,4
39,11304,10,4
41,10816,2,5
12,10094,10,4
9,11804,5,4
16,11911,3,4
9,11904,6,3
39,11577,3,4
6,10278,7,5
29,10931,4,5
25,11597,2,5
46,10916,10,5
16,12011,8,4
53,15472,4,4
24,10738,4,5
43,10426,6,4
8,10941,2,5
29,10374,5,4
24,15175,4,5
43,11122,7,4
54,12329,2,5
12,11923,10,4
4,11946,10,4
35,16881,4,4
4,10269,9,3
53,10879,8,4
51,11151,10,4
26,11603,3,4
53,11072,2,4
17,11920,5,5
4,10982,9,3
6,10804,7,5
16,15221,4,5
12,11774,7,4
8,11799,6,4
22,10077,6,4
43,11125,4,3
17,16819,3,4
36,11402,7,5
46,12293,9,5
13,10651,9,4
23,11434,7,4
10,10034,4,2
15,10224,10,4
25,10005,4,4
24,12273,3,4
10,10948,10,4
6,11982,8,4
28,10906,6,4
10,10064,2,4
7,10807,10,4
24,10111,7,4
27,10025,5,5
52,11226,3,4
42,10017,10,4
35,12252,9,4
52,11521,7,4
9,11902,10,4
42,10449,7,4
43,10460,8,4
40,12109,4,4
30,11740,10,4
35,11294,1,1
10,11807,9,3
22,11008,5,5
6,12210,4,5
12,10094,2,4
22,11008,3,4
16,10134,1,1
18,11465,7,4
2,11782,2,2
17,11463,9,4
9,12704,4,4
15,11688,4,4
16,10228,5,2
38,11601,7,4
12,10004,10,4
42,10449,9,4
10,11914,8,4
30,10632,9,3
9,10588,6,2
24,10518,10,4
43,11855,10,5
15,10560,3,4
19,11708,2,1
10,10033,9,4
51,11151,4,4
22,11651,3,5
13,10552,2,2
43,10044,10,4
20,10372,8,4
24,11355,7,4
24,10518,7,4
16,10248,3,4
23,11347,9,4
5,11648,3,4
52,11521,8,5
13,10096,5,2
36,10442,8,4
10,10173,10,4
29,10908,8,4
20,12147,7,5
13,12149,6,3
13,10943,7,4
6,10279,3,4
16,11695,10,4
20,10577,4,5
12,10001,5,4
41,11616,9,4
36,11020,7,4
9,10199,7,4
33,10634,4,5
29,10931,6,4
10,10951,9,4
16,12225,3,4
2,11629,10,4
19,13494,3,3
20,11674,3,4
48,11936,10,4
9,10586,2,4
4,11787,4,4
17,12167,1,4
35,10777,10,4
20,10707,5,4
16,10091,8,4
33,10394,9,4
12,11747,10,4
38,11300,3,4
23,11345,5,4
20,10151,5,4
30,10106,6,5
41,12260,3,5
7,10820,5,5
23,12170,4,4
34,11588,8,4
46,14142,4,4
12,10987,3,5
10,11744,10,5
16,10350,1,4
47,10481,2,5
36,10442,7,4
12,10505,8,5
7,11757,2,4
49,16247,3,4
35,11294,3,3
10,11913,7,4
35,10779,9,2
27,10605,6,3
47,11237,10,4
16,11698,3,3
7,13516,3,4
24,11596,7,3
55,10661,9,3
25,10201,8,5
23,11655,9,5
14,10524,7,4
46,11137,8,4
12,10001,8,4
10,12497,4,4
31,10384,9,4
24,12278,10,1
12,10002,4,4
42,10422,10,5
13,10944,7,4
9,10586,9,3
40,11305,2,3
12,10548,7,4
16,10091,5,4
41,12258,7,5
53,17037,3,2
53,14474,4,4
20,12146,6,5
35,12095,8,4
35,10405,3,4
10,11995,4,4
42,11621,8,4
25,10529,8,5
16,10229,1,4
41,12259,7,4
49,10484,5,4
9,10973,2,3
24,11830,8,4
46,12129,3,4
29,10928,8,3
39,11304,6,4
30,10632,5,3
11,11996,10,3
10,10952,4,3
6,11790,5,5
23,10716,1,4
37,11021,5,5
43,11125,6,4
29,11876,7,5
47,12301,10,4
24,10289,7,4
35,11589,9,4
9,10972,7,3
18,11466,8,4
8,10179,4,3
7,13946,4,4
1,10685,3,5
49,11535,10,2
13,10651,3,4
4,12197,5,3
23,12061,6,4
37,10730,3,4
40,10416,7,4
17,16028,3,4
14,10524,10,4
20,16658,3,4
25,11597,5,5
18,11705,10,4
4,11946,8,4
26,10954,3,5
6,10186,7,3
20,10706,10,4
51,11153,9,5
2,10331,10,2
29,10908,4,4
52,11201,2,5
18,11465,3,4
34,11290,3,5
24,10598,4,3
24,11356,7,5
23,10078,6,3
1,10685,10,4
35,10780,10,4
47,10046,8,5
21,11427,4,5
55,10759,2,3
52,11454,8,5
22,11431,2,3
22,10500,3,4
7,11886,4,4
34,11588,4,4
39,12366,3,5
16,12011,9,4
13,13647,4,3
22,11013,6,3
40,10653,5,4
15,12207,10,4
20,11333,3,4
15,11688,2,4
51,11099,5,5
46,10434,3,5
35,12679,3,5
23,15157,3,5
13,10652,4,4
23,10724,8,5
42,10017,7,4
38,11602,4,4
7,10309,1,3
4,11642,7,4
23,11415,10,4
20,10056,2,4
24,11357,7,5
15,10534,9,2
31,10774,8,4
40,12240,3,5
46,10434,9,5
7,10809,7,4
49,11240,10,3
24,10289,9,4
12,11774,4,4
52,11226,7,4
17,10121,5,4
8,11731,8,3
24,11425,7,3
46,11137,7,4
49,14009,4,4
52,11076,8,4
7,10159,5,4
52,11225,10,4
18,10363,8,4
53,11072,10,4
6,16320,4,5
20,10073,6,4
18,11926,4,5
15,11689,9,4
8,10208,7,4
25,11597,3,5
47,10481,10,5
12,11775,5,5
4,11750,2,4
12,10985,5,4
20,10577,2,2
43,11855,8,5
46,14688,3,2
24,12277,5,5
17,12015,8,4
16,11447,10,5
35,10875,2,4
23,10284,2,5
7,12042,9,4
27,10024,2,4
10,11995,5,4
56,11065,9,3
29,13616,4,4
16,12215,5,4
30,10709,2,4
22,10387,2,4
23,11435,5,5
30,10709,4,4
35,12096,3,4
20,10575,2,4
51,11943,7,4
13,10649,8,3
51,10486,6,3
46,12127,10,4
52,11094,7,5
15,10535,9,5
26,11847,8,4
4,10964,5,4
30,10844,4,2
13,12194,9,4
33,11400,10,5
23,13358,4,5
12,11998,8,5
28,10881,3,4
35,10778,6,4
52,10743,9,4
39,10787,10,3
36,12100,10,4
6,10186,10,4
20,11003,4,5
51,11244,3,4
40,10014,7,4
22,11716,10,4
10,10174,7,4
52,11076,7,4
35,10779,6,4
7,10204,4,3
12,11997,8,4
25,10602,7,5
43,10460,4,4
18,11465,6,4
12,11998,5,5
51,11945,4,4
24,12071,2,5
9,10585,6,4
40,16853,4,5
22,11430,6,4
20,11676,7,5
22,11406,2,5
43,11483,1,2
16,10090,7,2
6,11790,4,3
29,10930,10,3
26,10954,5,3
7,12043,6,4
46,12294,3,5
10,11766,2,3
43,11120,9,4
30,11397,9,4
10,11913,8,5
35,11293,7,4
20,10706,8,4
14,11887,2,5
2,10336,9,4
49,12310,7,4
6,12209,5,5
52,11453,7,4
18,11926,3,5
4,11947,3,5
16,11695,9,2
10,11768,3,5
20,10055,4,3
38,12102,8,4
49,14778,4,4
43,11123,10,4
43,11125,3,3
18,11664,8,4
16,10247,1,2
25,11597,7,5
32,10711,2,2
20,11002,5,4
43,10042,1,5
10,10173,7,4
15,12208,2,5
4,12055,8,4
23,11343,2,4
16,10350,10,4
20,10703,9,2
52,11522,10,4
54,11062,2,2
37,11022,2,4
36,10782,3,4
10,11913,6,5
37,11600,10,5
23,10504,5,5
16,10247,7,2
24,12274,3,5
49,10833,10,4
25,10200,7,4
45,11211,2,1
5,10294,2,3
20,11674,6,4
20,11331,10,4
4,11639,8,4
43,11854,2,4
12,11747,3,4
52,11094,5,5
16,12166,7,3
17,11463,2,5
29,10698,9,4
10,10066,6,4
4,11964,2,4
41,11115,10,4
24,11425,6,3
20,10380,4,3
6,10279,7,4
12,10546,5,4
28,10369,8,3
20,10689,5,4
23,11416,3,5
17,11449,5,5
18,10254,5,4
36,12255,10,4
23,11412,5,4
46,12129,2,2
23,12061,5,4
4,11660,10,4
9,11903,7,4
43,10461,4,4
25,11254,6,4
40,10416,9,4
43,11502,3,4
10,11969,10,4
43,11483,2,4
22,10077,8,4
18,12020,6,3
6,12209,2,4
49,11534,3,4
7,10808,9,4
7,12211,10,4
16,10564,7,5
3,10304,8,5
13,12194,3,3
23,11348,9,4
12,11745,9,5
6,10279,6,5
24,10290,2,4
10,10494,2,5
12,10505,5,5
4,12197,8,4
24,10109,2,4
23,11654,1,1
20,10371,3,4
16,10089,5,4
43,10462,6,4
16,12010,1,3
6,10971,8,4
23,14336,3,4
20,11469,6,2
30,12233,4,4
35,10989,8,4
34,10872,3,4
43,11120,2,4
13,10516,5,4
11,15924,3,4
22,11340,9,3
47,12301,9,4
6,10185,7,4
23,11653,2,5
35,13791,4,5
20,10056,4,2
7,10315,7,4
7,10830,5,5
40,10737,4,4
47,12135,5,4
41,12258,6,2
13,12149,9,5
18,11926,8,5
30,10106,9,4
4,10297,6,4
24,10318,9,4
9,11901,2,4
43,16606,4,5
49,12304,7,4
12,10548,4,4
53,11107,5,5
23,11413,1,1
25,10529,4,5
7,11796,9,5
6,10296,7,4
30,11739,5,4
24,11038,4,4
53,14477,3,3
28,10906,7,4
36,11299,8,4
6,10280,7,4
41,11618,3,5
9,11765,1,3
13,10652,3,3
22,11013,4,4
33,12246,3,4
